,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline
252,925341,The Path,2022-02-17,"['Family', 'History', 'Drama']",German,7.0,13,119.017,"Fleeing from the Nazis, two children, a journalist father, and a dog must make their way through the hazardous Pyrenees mountain range.",0,"['Eyrie Entertainment GmbH', 'Fasten Films', 'Warner Bros. Film Productions Germany']",0,99,
253,884605,No Hard Feelings,2023-06-15,"['Comedy', 'Romance']",English,2.0,1,118.409,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",0,"['Excellent Cadaver', 'Odenkirk Provissiero Entertainment']",0,103,Pretty. Awkward.
254,597,Titanic,1997-11-18,"['Drama', 'Romance']",English,7.9,22991,118.122,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",200000000,"['Paramount', '20th Century Fox', 'Lightstorm Entertainment']",2264162353,194,Nothing on Earth could come between them.
255,884184,Consecration,2023-02-09,"['Horror', 'Thriller']",English,6.2,48,117.913,"After the alleged suicide of her priest brother, Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account, she uncovers murder, sacrilege and a disturbing truth about herself.",0,"['AGC Studios', 'Bigscope Films', 'Moonriver Content']",0,90,Blessed be the curse.
256,566525,Shang-Chi and the Legend of the Ten Rings,2021-09-01,"['Action', 'Adventure', 'Fantasy']",English,7.6,8151,117.758,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,150000000,['Marvel Studios'],432243292,132,You can't outrun your destiny.
257,873126,My Name Is Vendetta,2022-11-30,"['Action', 'Crime', 'Thriller']",Italian,6.8,470,117.602,"After old enemies kill his family, a former mafia enforcer and his feisty daughter flee to Milan, where they hide out while plotting their revenge.",0,['Colorado Film'],0,90,
258,675,Harry Potter and the Order of the Phoenix,2007-06-28,"['Adventure', 'Fantasy', 'Mystery']",English,7.7,17804,117.343,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.",150000000,"['Warner Bros. Pictures', 'Heyday Films']",938212738,138,Evil Must Be Confronted.
259,585,"Monsters, Inc.",2001-11-01,"['Animation', 'Comedy', 'Family']",English,7.8,16841,117.265,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",115000000,['Pixar'],579707738,92,We Scare Because We Care.
260,613504,After We Collided,2020-09-02,"['Romance', 'Drama']",English,7.2,4946,116.071,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,0,"['Voltage Pictures', 'Offspring Entertainment', 'Frayed Pages Entertainment', 'Wattpad']",42000000,105,Can love overcome the past?
261,947704,Yuku and the Himalayan Flower,2022-10-19,"['Animation', 'Family', 'Adventure']",French,2.8,4,116.031,"Yuku is a young mouse who lives with her family in the cellar of a castle. Her grandmother passes on the family values by telling her timeless folk tales. Injured in a tussle with a cat, the old mouse is bedridden and she tells her children that she will have to leave them to follow the little blind mole into the Earth’s tunnels. In one of her grandmother’s storybooks, Yuku learns that the flower of the Himalayas can bring her eternal light. She leaves on a journey of discovery to find the flower.",0,"['Vivement lundi !', 'Nadasdy Film', 'Les Films du Nord', 'Artémis Productions', 'La Boîte, ... Productions']",0,65,
262,760104,X,2022-03-17,"['Horror', 'Mystery', 'Thriller']",English,6.8,1991,115.74,"A group of actors sets out to make an adult film in rural Texas under the noses of their reclusive hosts, but when the elderly couple catches their young guests in the act, the cast finds themselves in a desperate fight for their lives.",10000000,"['A24', 'Little Lamb Productions']",14779858,106,Dying to show you a good time.
263,884535,An Unforgettable Year: Autumn,2023-06-08,"['Drama', 'Romance', 'Music']",Portuguese,6.6,8,115.469,"An ambitious law student who hates music needs to make a perfect plan to get hired at the office she interns at – until she meets a charming singer who shakes her life. While she's living her first love, she needs to face her own past and decide what's more important: do what she loves or learn to love what she does.",0,"['Panorâmica', 'Amazon Studios']",0,102,
264,496450,"Miraculous: Ladybug & Cat Noir, The Movie",2023-07-05,"['Animation', 'Fantasy', 'Action', 'Family', 'Romance']",French,0.0,0,114.803,"A life of an ordinary Parisian teenager Marinette goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city.",86000000,"['ON Animation Studios', 'The Awakening Production', 'SND', 'Zagtoon', 'Method Animation', 'Fantawild']",0,107,The fate of the world is in their hands.
265,653851,Devotion,2022-11-23,"['War', 'Drama', 'Action']",English,7.2,508,114.504,The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,90000000,"['Black Label Media', 'STX Films']",20000000,139,"In America’s forgotten war, they made history."
